localidade,data,precipitacao,pressao_atmosferica,radiacao_solar_global,temperatura_bulbo_seco,temperatura_orvalho,umidade_relativa,velocidade_vento
BRASILIA,2019-12-10T00:00:00Z,61.8,886.19,1163.19,20.98,17.99,84.17,1.71
BRASILIA,2019-12-11T00:00:00Z,0.2,885.15,1360.21,22.08,18.12,79.21,1.53
BRASILIA,2019-12-12T00:00:00Z,0.0,884.41,1264.72,22.31,17.68,76.62,1.5
BRASILIA,2019-12-13T00:00:00Z,0.4,884.99,1543.64,23.19,18.02,74.25,2.05
BRASILIA,2019-12-14T00:00:00Z,28.6,887.32,1646.93,22.47,17.45,75.38,2.99
BRASILIA,2019-12-15T00:00:00Z,0.0,887.49,2075.59,23.63,16.06,63.29,3.18
BRASILIA,2019-12-16T00:00:00Z,0.0,886.27,2104.69,24.2,14.61,56.54,2.81
BRASILIA,2019-12-17T00:00:00Z,0.0,885.14,1597.45,23.38,13.83,57.5,1.66
BRASILIA,2019-12-18T00:00:00Z,11.8,885.66,1646.26,22.08,16.75,73.12,1.96
BRASILIA,2019-12-19T00:00:00Z,11.6,887.26,915.61,20.81,17.86,83.79,1.85
BRASILIA,2019-12-20T00:00:00Z,0.0,886.52,1671.22,23.24,17.34,71.38,2.62
BRASILIA,2019-12-21T00:00:00Z,0.0,886.04,1721.14,23.49,16.66,68.04,1.73
BRASILIA,2019-12-22T00:00:00Z,0.0,885.98,1466.61,23.45,17.08,68.62,1.94
BRASILIA,2019-12-23T00:00:00Z,10.8,886.45,1364.97,22.11,16.68,73.08,2.27
BRASILIA,2019-12-24T00:00:00Z,4.4,886.2,1023.37,20.49,16.75,79.92,1.92
BRASILIA,2019-12-25T00:00:00Z,0.0,886.23,1323.44,21.71,16.9,75.29,1.83
BRASILIA,2019-12-26T00:00:00Z,0.0,887.17,1418.02,22.83,17.54,73.71,1.68
BRASILIA,2019-12-27T00:00:00Z,0.2,887.0,1800.35,23.66,17.13,68.58,2.82
BRASILIA,2019-12-28T00:00:00Z,0.0,886.4,2071.43,23.87,15.39,60.5,3.06
BRASILIA,2019-12-29T00:00:00Z,0.0,885.48,2174.01,24.14,15.24,59.83,2.52
BRASILIA,2019-12-30T00:00:00Z,0.0,884.0,1644.94,24.02,15.1,58.75,2.22
BRASILIA,2019-12-31T00:00:00Z,8.4,884.18,943.33,21.56,16.8,75.88,1.56
BRASILIA,2020-01-01T00:00:00Z,0.4,884.32,1192.79,21.16,17.65,80.96,1.52
BRASILIA,2020-01-02T00:00:00Z,0.0,884.41,2300.98,21.88,18.09,80.0,2.78
BRASILIA,2020-01-03T00:00:00Z,31.4,885.05,2053.05,21.4,18.05,82.54,2.62
BRASILIA,2020-01-04T00:00:00Z,19.6,884.28,1704.6,20.3,18.46,89.5,3.44
BRASILIA,2020-01-05T00:00:00Z,57.4,884.16,886.91,19.12,18.04,93.42,2.13
BRASILIA,2020-01-06T00:00:00Z,1.0,885.21,1892.95,20.8,17.94,84.46,3.76
BRASILIA,2020-01-07T00:00:00Z,0.0,886.44,2147.46,22.12,18.07,78.92,2.89
BRASILIA,2020-01-08T00:00:00Z,3.0,886.53,1884.28,22.43,18.75,81.08,1.8
BRASILIA,2020-01-09T00:00:00Z,12.0,886.94,2127.53,21.35,18.42,84.04,1.54
BRASILIA,2020-01-10T00:00:00Z,0.2,886.37,1530.27,22.77,17.85,76.46,1.92
BRASILIA,2020-01-11T00:00:00Z,0.6,885.83,963.45,24.43,16.72,66.54,1.85
BRASILIA,2020-01-12T00:00:00Z,0.0,886.76,1309.42,24.21,14.58,59.25,1.32
BRASILIA,2020-01-13T00:00:00Z,0.0,886.65,2030.81,24.46,14.31,56.92,1.7
BRASILIA,2020-01-14T00:00:00Z,0.0,886.48,2164.95,24.96,16.05,61.08,1.95
BRASILIA,2020-01-15T00:00:00Z,0.0,885.96,2196.72,25.01,15.97,59.62,2.03
BRASILIA,2020-01-16T00:00:00Z,0.0,887.52,2304.87,25.51,16.25,58.04,1.98
BRASILIA,2020-01-17T00:00:00Z,0.8,887.95,1646.13,24.05,16.73,64.58,1.99
BRASILIA,2020-01-18T00:00:00Z,0.8,888.27,1680.95,21.63,18.07,80.67,2.09
BRASILIA,2020-01-19T00:00:00Z,0.0,886.9,1978.95,23.82,17.51,70.0,1.8
BRASILIA,2020-01-20T00:00:00Z,4.8,885.34,1923.55,23.22,18.53,76.46,1.79
BRASILIA,2020-01-21T00:00:00Z,9.8,883.4,2297.84,22.02,18.91,83.29,2.58
BRASILIA,2020-01-22T00:00:00Z,1.0,882.79,2186.83,20.4,18.53,89.25,2.99
BRASILIA,2020-01-23T00:00:00Z,8.4,882.28,2274.03,20.54,18.54,88.75,3.57
BRASILIA,2020-01-24T00:00:00Z,12.8,882.19,2080.88,20.12,18.81,92.21,4.34
BRASILIA,2020-01-25T00:00:00Z,40.6,884.24,1297.78,19.99,18.65,92.12,4.09
BRASILIA,2020-01-26T00:00:00Z,92.8,885.48,848.14,20.2,18.75,91.71,2.5
BRASILIA,2020-01-27T00:00:00Z,9.4,885.9,1323.63,20.88,18.65,88.04,2.39
BRASILIA,2020-01-28T00:00:00Z,4.0,886.9,2063.81,20.75,18.0,85.29,3.28
BRASILIA,2020-01-29T00:00:00Z,0.2,887.94,2237.35,22.17,17.22,75.75,1.9
BRASILIA,2020-01-30T00:00:00Z,0.0,888.68,2248.15,22.93,17.56,74.12,1.48
BRASILIA,2020-01-31T00:00:00Z,0.0,888.34,2334.94,23.96,16.94,67.88,1.84
BRASILIA,2020-02-01T00:00:00Z,0.0,887.99,2213.45,23.82,15.71,64.04,1.48
BRASILIA,2020-02-02T00:00:00Z,0.0,887.33,2005.39,24.15,16.89,66.46,2.01
BRASILIA,2020-02-03T00:00:00Z,5.6,887.04,2257.65,23.84,17.24,68.92,2.09
BRASILIA,2020-02-04T00:00:00Z,17.4,887.38,1820.24,21.59,17.46,78.62,2.16
BRASILIA,2020-02-05T00:00:00Z,0.0,886.96,1375.08,22.25,17.01,74.29,1.74
