localidade,cultura,ano,indicador,custo
TUPACIRETA,TRIGO,2011,OUTRAS DESPESAS,124.39
TUPACIRETA,TRIGO,2011,DESPESAS FINANCEIRAS,34.19
TUPACIRETA,TRIGO,2011,DEPRECIACOES,136.33
TUPACIRETA,TRIGO,2011,OUTROS CUSTOS FIXOS,57.62
TUPACIRETA,TRIGO,2011,RENDA DE FATORES,402.04
TUPACIRETA,TRIGO,2011,PRODUTIVIDADE MEDIA,2100.0
JULIO DE CASTILHO,TRIGO,2011,CUSTEIO  DA LAVOURA,881.87
JULIO DE CASTILHO,TRIGO,2011,OUTRAS DESPESAS,124.39
JULIO DE CASTILHO,TRIGO,2011,DESPESAS FINANCEIRAS,34.19
JULIO DE CASTILHO,TRIGO,2011,DEPRECIACOES,136.33
JULIO DE CASTILHO,TRIGO,2011,OUTROS CUSTOS FIXOS,57.62
JULIO DE CASTILHO,TRIGO,2011,RENDA DE FATORES,402.04
JULIO DE CASTILHO,TRIGO,2011,PRODUTIVIDADE MEDIA,2100.0
CRUZ ALTA,TRIGO,2012,CUSTEIO  DA LAVOURA,879.16
CRUZ ALTA,TRIGO,2012,OUTRAS DESPESAS,146.25
CRUZ ALTA,TRIGO,2012,DESPESAS FINANCEIRAS,34.22
CRUZ ALTA,TRIGO,2012,DEPRECIACOES,116.64
CRUZ ALTA,TRIGO,2012,OUTROS CUSTOS FIXOS,7.09
CRUZ ALTA,TRIGO,2012,RENDA DE FATORES,398.91
CRUZ ALTA,TRIGO,2012,PRODUTIVIDADE MEDIA,2100.0
CRUZ ALTA,TRIGO,2013,CUSTEIO  DA LAVOURA,1083.05
CRUZ ALTA,TRIGO,2013,OUTRAS DESPESAS,208.77
CRUZ ALTA,TRIGO,2013,DESPESAS FINANCEIRAS,29.33
CRUZ ALTA,TRIGO,2013,DEPRECIACOES,95.74
CRUZ ALTA,TRIGO,2013,OUTROS CUSTOS FIXOS,71.81
CRUZ ALTA,TRIGO,2013,RENDA DE FATORES,579.7
CRUZ ALTA,TRIGO,2013,PRODUTIVIDADE MEDIA,2700.0
CRUZ ALTA,TRIGO,2014,CUSTEIO  DA LAVOURA,1205.94
CRUZ ALTA,TRIGO,2014,OUTRAS DESPESAS,191.81
CRUZ ALTA,TRIGO,2014,DESPESAS FINANCEIRAS,32.3
CRUZ ALTA,TRIGO,2014,DEPRECIACOES,114.26
CRUZ ALTA,TRIGO,2014,OUTROS CUSTOS FIXOS,103.71
CRUZ ALTA,TRIGO,2014,RENDA DE FATORES,659.48
CRUZ ALTA,TRIGO,2014,PRODUTIVIDADE MEDIA,2700.0
CRUZ ALTA,TRIGO,2015,CUSTEIO  DA LAVOURA,1510.76
CRUZ ALTA,TRIGO,2015,OUTRAS DESPESAS,234.39
CRUZ ALTA,TRIGO,2015,DESPESAS FINANCEIRAS,76.57
CRUZ ALTA,TRIGO,2015,DEPRECIACOES,160.58
CRUZ ALTA,TRIGO,2015,OUTROS CUSTOS FIXOS,177.26
CRUZ ALTA,TRIGO,2015,RENDA DE FATORES,741.61
CRUZ ALTA,TRIGO,2015,PRODUTIVIDADE MEDIA,2900.0
